Cell_state,HL_01,HL_02,HL_03,HL_04,HL_05,HL_06,HL_07,HL_08,HL_09,HL_10,HL_11,HL_12,HL_13,HL_14,HL_15,HL_16,HL_18,HL_19,HL_20,HL_21,HL_22,HL_23,HL_24,HL_25,HL_26,HL_27,HL_28,HL_29,HL_30
"HRS,MHCII",0.650338162,0.070687825,0.245325701,0.09033882,0.631688306,0.291200963,0.367588374,0.038889175,0.278895229,0.352649964,0.135068649,0.798976658,0.336209065,0.756264539,0.692776318,0.096266231,0.103522193,0.094727656,0.355972494,0.023466388,0.19398996,0.032466345,0.155671423,0.600132278,0.085753359,0.072349318,0.112859576,0.431588661,0.188356282
"HRS,MHCI",0.189185441,0.300750936,0.016770963,0.795490616,NA,0.286467509,NA,0.909711593,1.133794537,1.326257985,0.778712363,1.48259107,NA,NA,0.359051107,1.096458557,0.171924038,0.006885232,0.270098509,0.018741476,0.1585693,0.037793777,0.012492582,0.640689312,0.469195874,0.111541404,1.010680043,0.467628747,0.322915493
"HRS,CD40",NA,NA,NA,0.017967436,0.029793628,0.065408422,0.035608436,0.033234012,0.073895689,0.222934865,0.034513256,0.374335701,0.045989282,0.017891391,0.135011117,0.030451172,0.160609226,0.170335903,0.015295277,0.200172409,0.091308572,0.049918769,0.314112602,0.218075129,0.162068671,0.231779572,0.264363493,0.086417775,0.269860971
"HRS,CD27-,ICOS-",0.71965338,0.432349686,0.322626316,0.176604071,0.728345351,1.000274939,0.409756616,0.543859819,0.507291306,0.021659711,0.108387057,0.141391594,0.287225108,0.129795527,0.061619129,0.049818526,NA,0.820908025,0.534149235,0.144249734,0.068765856,NA,0.412780886,NA,0.076262858,0.251626739,0.070372626,NA,NA
"HRS,B2M",0.304420536,0.238144838,0.039016865,0.561069462,0.596524362,0.129650282,0.178623499,0.111633755,1.22895356,1.005617027,0.971678372,0.501460746,0.773662576,0.36251797,0.453511665,0.692196234,0.324357364,0.014071271,0.25899055,0.059092974,0.332464451,0.010909797,0.018614385,0.305053045,0.461106996,0.217249521,0.555825525,0.483592066,0.123760061
"HRS,TIM3",0.177281799,0.097246733,0.016770963,0.292468954,0.393755377,0.222459275,0.576886713,0.153372544,0.68562762,0.585581037,0.42619577,0.695567795,0.764111941,0.539362242,0.911653107,1.274044485,0.246308952,0.361876753,0.157912476,0.619101428,0.046318573,0.397203051,NA,0.359303299,0.213889375,0.326606012,0.260870334,0.036898434,0.535907316
"HRS,PDL1",0.293098875,0.061517303,0.101690361,0.028770524,0.154356452,0.31634751,0.434386038,0.047156614,0.726962224,0.568410727,0.287018713,0.51325838,0.368012032,0.480517532,NA,0.595648193,0.518174905,0.175517602,0.327413222,0.257537216,0.110083059,0.17853019,0.684181011,0.338112644,0.633259837,0.342908957,0.427656715,0.4143133,1.481002689
"HRS,B2M,MHCI,MHCII",0.649688218,0.314341023,0.274619211,0.885085482,NA,0.421815067,NA,0.918638115,1.197578262,0.77408996,0.875861508,1.393243092,NA,NA,0.745960035,1.201384286,0.338886071,0.09775545,0.427777164,0.062788821,0.416711284,0.049234601,0.154139742,0.68859649,0.690273504,0.247666462,1.125651253,0.617365878,0.329238699
"HRS,KI67",0.276671017,0.222523622,0.114722129,0.236266159,0.227341694,0.374077007,0.202600896,0.293074077,0.165956038,0.262337451,0.141394638,0.33507199,0.380860889,0.148618243,0.279076559,0.246531548,0.108789716,0.141510254,0.151419511,0.094197601,0.198035336,0.1309755,0.252044297,0.223468229,0.22209582,0.315061442,0.235887235,0.410704194,0.224798054
"HRS,PD1-,LAG3-,TIM3",0.334798226,NA,0.504210198,0.306868846,0.601268169,0.392320764,0.609317173,0.404183772,0.808684905,0.585581037,0.419974489,0.753991113,0.76764856,0.534383859,0.900140713,1.294893058,0.250561645,0.666346394,0.176639862,0.534768168,0.175319312,0.413918344,NA,0.283573383,0.225498929,0.313059938,0.258769355,NA,0.557304522
"HRS,PDL1-,B7H3-,IDO1-",0.343442452,0.826307669,0.573508268,0.875595083,0.79343676,0.634010334,0.448017461,0.661867976,0.574579518,0.189120205,0.462509728,0.234861908,0.411996602,0.135486242,NA,0.174001027,NA,NA,NA,0.238161543,0.536649156,0.75695614,0.175806585,NA,NA,0.137491703,0.277832308,NA,0.215076564
"HRS,PD1-,LAG3-,TIM3-",0.662932475,NA,0.262814475,0.807110159,0.333187223,0.713154847,0.089159215,0.800902162,0.416808909,0.010183781,0.076646469,0.463445182,0.265925006,0.061122565,0.033401634,0.099711839,0.369401316,0.519856725,0.574031171,0.08958519,0.790640066,0.095119918,NA,0.55144625,0.425741204,0.295358775,0.490314599,NA,0.217404324
"HRS,MHCII,KI67",0.745935134,0.252252475,0.225835803,0.308736767,0.720530676,0.552991995,0.491623094,0.283683655,0.352149571,0.473711668,0.200079227,0.982618104,0.317676134,0.783068358,0.743190901,0.279385085,0.173398548,0.177565372,0.31587382,0.099066048,0.234264647,0.128773414,0.284580485,0.639701686,0.322101929,0.353685814,0.271805228,0.631385303,0.328234299
"HRS,PDL1,B7H3-,IDO1-",0.383159733,0.390125,0.233015188,0.489634042,0.616739922,0.705827965,0.564152147,0.15029999,0.740963448,0.576012162,0.257832545,0.523190294,0.361005277,0.490897282,NA,0.590899439,NA,NA,NA,0.245073726,0.119375688,0.168914165,0.716377409,NA,NA,0.349634757,0.425520712,NA,1.560992825
"HRS,MHCI,KI67",0.349774064,0.344391885,0.114722129,0.913396248,NA,0.337882502,NA,0.952654414,1.229977707,1.38191647,0.836934796,0.83121952,NA,NA,0.460532517,1.045460059,0.190171604,0.142121356,0.271874484,0.101467883,0.248997385,0.148897078,0.250408169,0.700059227,0.474779757,0.397179115,1.062799613,0.693944521,0.412041644
"HRS,CD40,KI67",NA,NA,NA,0.236266159,0.220634878,0.408421301,0.205918374,0.287096818,0.170407808,0.366102241,0.137348579,0.430677042,0.345071251,0.146476633,0.302985235,0.258313643,0.236174944,0.205269088,0.15455239,0.235708334,0.19644342,0.11294185,0.457871176,0.205936312,0.370477689,0.36779488,0.362055303,0.436000941,0.546714672
"HRS,B2M,KI67",0.48941648,0.33231269,0.090012441,0.739926502,0.727338953,0.442978943,0.382780259,0.285923054,1.303421232,0.981828104,0.717382269,0.439789679,0.706792217,0.404561678,0.590057377,0.421405217,0.352270444,0.142764853,0.243744365,0.13831977,0.285984554,0.133652811,0.255180956,0.318343491,0.445559246,0.390416301,0.60281936,0.805408824,0.24716276
"HRS,CD27-,ICOS-,KI67",0.827511442,0.474167598,0.38469018,0.310062499,0.649262222,1.061804851,0.4468442,0.45947302,0.466642751,0.254587315,0.156331219,0.422660497,0.564189505,0.155225463,0.299178647,0.242631784,NA,0.832872254,0.565055899,0.155549973,0.211134963,NA,0.503741804,NA,0.244424774,0.426082774,0.2508164,NA,NA
"HRS,B2M,MHCI,MHCII,PDL1",0.674413138,0.330011621,0.271125094,0.887147898,NA,0.48804683,NA,0.90569503,1.213783852,0.722435281,0.695800621,1.040833117,NA,NA,NA,0.803582483,0.544310498,0.195829182,0.491014408,0.269795494,0.482097565,0.190934321,0.696658519,0.812523215,0.919796296,0.341221809,1.215600162,0.605760694,1.306957451
"HRS,CD27",0.532935301,0.330360186,0.027649209,0.609680672,0.371589388,0.195482261,0.238599494,1.173801343,0.868745305,0.741754545,1.153094724,0.742520191,1.183889483,0.839790685,0.877919673,1.31625373,0.641843686,0.814893777,0.369032332,0.623657541,0.451796493,1.475828778,0.380024329,0.788096213,1.395032746,0.49676254,1.542789133,0.954624495,0.418253421
"HRS,TIM3,KI67",0.380516837,0.235475837,0.114722129,0.422250457,0.525942474,0.463575101,0.679149684,0.220756601,0.706676026,0.521230296,0.199602202,0.99388177,0.863696602,0.514358849,0.765259639,1.465625874,0.315127353,0.432342479,0.248900514,0.564134335,0.180807073,0.474824815,NA,0.36547783,0.388592067,0.358899711,0.335806878,0.40728485,0.759529608
"HRS,B2M,MHCI,MHCII,PDL1-",0.899218938,0.818182064,0.694627385,0.808971041,NA,0.619360814,NA,1.087363754,0.990976155,0.89985964,0.827645997,1.180098805,NA,NA,NA,1.455131021,0.378788581,0.518515644,0.585742021,0.226235822,0.609358669,0.876058356,0.237339168,0.644152709,0.663684743,0.343920478,1.108380536,0.644085246,0.428660981
"HRS,PDL1,KI67",0.407130321,0.239202123,0.152103617,0.241840887,0.279141441,0.735936458,0.539545375,0.277358836,0.730334005,0.598581391,0.463082218,0.656248213,0.566890141,0.473706694,NA,0.655456643,0.612284199,0.20837138,0.343802049,0.303813234,0.23328842,0.184501032,0.732736577,0.380285475,0.937956152,0.557379942,0.560567422,0.567861129,1.523953876
"HRS,B2M,MHCI,MHCII,KI67",0.809699134,0.389873357,0.247943367,1.080371274,NA,0.533484236,NA,0.951783286,1.28562532,0.811584329,0.717885315,0.90608723,NA,NA,0.809994026,1.352216244,0.343765269,0.180137905,0.372763039,0.140342734,0.354842581,0.144960221,0.287363388,0.63012894,0.848479406,0.452125867,1.21158221,0.865925703,0.44502053
"HRS,PD1-,LAG3-,TIM3-,KI67",0.719339933,NA,0.133737447,0.714811319,0.29643324,0.691616495,0.220438926,1.015690602,0.47214849,0.260934924,0.166430245,0.741241764,0.480731183,0.1705358,0.286198671,0.26969008,0.324559293,0.580841727,0.576519932,0.144527958,0.895669464,0.160075572,NA,0.741231197,0.337198686,0.427587356,0.541179101,NA,0.298061718
"HRS,PD1",1.182478061,NA,1.066568718,0.84542122,0.975778161,1.792331541,0.564691164,1.334951244,1.644284061,0.629954729,0.729514151,0.840245657,2.181495574,0.740400388,0.850348064,0.908838612,0.958551741,0.515564871,0.70717421,0.535702105,0.692779906,1.589354197,0.645043408,1.054899406,2.357710999,0.489315012,1.046462991,NA,0.675066469
"HRS,PDL1-,B7H3-,IDO1-,KI67",0.436490424,0.869589679,0.674777083,0.813113295,0.560567321,0.521637315,0.436004779,0.887594871,0.58702349,0.299965361,0.540587675,0.433483237,0.543540935,0.163392672,NA,0.311016883,NA,NA,NA,0.274577576,0.688399263,0.836858273,0.326504746,NA,NA,0.318962454,0.404714409,NA,0.274340548
"HRS,B2M-,MHCI,MHCII",0.678635258,0.686599412,0.622812324,0.981527907,NA,1.609635262,NA,1.560498823,1.254249035,1.340159954,0.956986172,0.644431467,NA,NA,1.253924323,0.920908111,1.153545211,0.706947418,0.699339262,0.559441271,0.679837399,0.660536691,1.09E+00,0.878765282,0.685723492,0.418852409,1.272163188,0.836056627,0.926093376
"HRS,PD1-,LAG3-,TIM3,KI67",0.481845309,NA,0.538924635,0.450692054,0.662665313,0.476970831,0.719905305,0.351456948,0.747931314,0.521230296,0.276981158,1.095197044,0.885798804,0.502924898,0.765259639,1.465625874,0.311044346,0.674828811,0.271048942,0.600171961,0.313020132,0.485990902,NA,0.31149769,0.370802189,0.478735546,0.330160019,NA,0.791260985
"HRS,PDL1,B7H3-,IDO1-,KI67",0.434622775,0.449162156,0.273533485,0.450926095,0.581668724,1.0640588,0.681253628,0.332890344,0.733656207,0.582221084,0.391084962,0.662246688,0.600108831,0.488762823,NA,0.655456643,NA,NA,NA,0.295380338,0.236895484,0.184076364,0.753690467,NA,NA,0.571964697,0.560848837,NA,1.591278827
"HRS,CD40L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667854067,0.980440088,0.374775354,1.127396339,1.688317005,1.062102258,0.770025103,0.602484454,0.48545194,0.394920856,0.824923341,0.916205651,0.820462001
"HRS,B2M-,MHCI-,MHCII",1.682320372,0.502107789,0.133737447,0.578679597,NA,0.74663955,NA,1.433243684,0.509040826,0.405277545,1.041101374,0.803177943,NA,NA,0.7936171,0.257245186,1.478297941,0.50987388,0.773825932,0.780507654,1.640232349,0.631491718,0.7198171,8.02E-01,0.68282382,1.387566228,0.505543891,0.424329787,1.138160048
"HRS,ICOS",0.315926148,1.098357257,0.782267026,0.697339235,0.735765315,0.315474196,1.704054495,0.44790492,1.3058864,0.463910728,1.086339923,0.397966486,0.932962953,0.951362091,0.615493104,0.699323904,NA,0.774434125,0.58030099,0.709821577,0.672962198,NA,9.26E-01,NA,0.654076348,0.690959358,1.638733002,NA,NA
"HRS,CD27,ICOS-",0.972061737,0.497802001,0.046640439,0.623628698,0.422541164,1.151587926,0.273199626,1.318714925,0.992378243,0.887435676,1.046151288,0.751761613,1.361448546,0.852683253,0.844133175,1.31625373,NA,0.877654954,0.829127657,0.71947581,0.486025747,NA,0.383091677,NA,2.080700984,0.452575201,1.103408921,NA,NA
"HRS,PD1,LAG3-,TIM3",1.4324005,NA,1.099376426,0.808534643,1.085738516,1.80308253,0.634534152,1.322589336,1.372388236,0.635518434,0.729514151,0.803653685,0.60546495,0.597934598,0.686050519,0.908838612,1.017072237,0.51944484,0.717729988,0.623699708,0.79891771,1.026867257,NA,1.128300857,2.230300985,0.549313069,0.807979025,NA,0.671877088
"HRS,B2M-,MHCI-,MHCII,PDL1-",1.363902311,0.726082717,0.133737447,0.880501205,NA,0.575052728,NA,1.071101602,0.822264309,5.20E-01,0.864768734,0.788058816,NA,NA,NA,0.293690832,1.452300373,0.514740351,0.644598438,0.780507654,0.929008288,0.632183539,0.7198171,0.7812823,0.706816977,1.325820222,0.581249167,0.541034503,1.201824398
"HRS,CD27,ICOS",0.599470354,1.186702207,0.782267026,0.801568076,0.749929457,0.329378347,1.642907702,1.299468273,1.119081221,0.501451518,0.887744694,0.415113806,0.980509075,0.839716553,0.846510912,1.028817237,NA,0.739073281,0.561892672,0.625216881,0.788171205,NA,0.994304671,NA,1.331971544,0.714809257,1.943420894,NA,NA
"HRS,CD27,KI67",0.648627423,0.302719117,0.108124359,0.83243767,0.462198647,0.364502851,0.441487613,1.099206475,0.945270019,0.735260338,0.947918772,0.862727309,0.897443062,0.888786439,0.866472996,1.028817237,0.617035762,0.789486338,0.352157799,0.765957938,0.515273282,1.71438361,0.585052553,0.621452854,1.441987096,0.424531263,1.514915943,1.028478102,0.472288003
"HRS,B2M,MHCI,MHCII-",0.671549595,0.872255321,0.568657949,0.767917823,NA,0.474735711,NA,0.964478931,0.944609733,0.604946474,0.86076637,0.957829115,NA,NA,0.663366184,0.836811089,1.448062149,0.616106312,0.418256331,0.478172742,0.42413064,0.555306048,0.969912534,1.005840085,0.398421471,0.554029295,1.288478998,0.328583562,0.675283744
"HRS,VISTA",NA,NA,NA,1.068698887,0.805870649,0.91978223,0.412574345,1.992827322,1.375168403,0.604626516,0.818273642,0.808562595,0.534931199,0.447057386,0.664985504,0.986919922,0.578457504,0.506865809,0.556973812,0.546960026,1.646956755,0.548070229,NA,0.734054179,0.901695931,0.655067456,0.952531808,0.881399545,0.615332166
"HRS,B2M-,MHCI,MHCII,KI67",0.831014313,0.801496272,0.622812324,0.96284936,NA,1.626699676,NA,1.14542985,1.270137737,1.368611061,0.945479169,0.644431467,NA,NA,1.497633552,0.815628005,1.173346925,0.706947418,0.700486516,0.576232806,0.804088461,0.550215149,1.02E+00,0.566400282,0.780973636,0.534963473,1.361468007,0.786348506,0.88349096
"HRS,B2M,MHCI,MHCII-,PDL1-",0.773427809,0.615649538,0.625482489,0.856364257,NA,0.735462777,NA,1.156788563,0.981249205,0.582802542,0.519717243,0.957829115,NA,NA,NA,1.028817237,1.467154308,0.464054179,0.480129793,0.428976127,0.991086998,0.653361651,1.02E+00,8.55E-01,0.394849872,0.549754837,0.978676049,0.400667026,0.689510122
"HRS,B2M-,MHCI-,MHCII-",1.158156433,0.765331291,0.452421309,0.621221763,NA,0.998755663,NA,0.825620844,1.442012545,0.660582663,1.143355994,0.12538782,NA,NA,1.031411163,0.447271149,1.149947008,0.55157368,1.253754005,0.761190681,1.942486981,0.77445139,0.802265331,0.670733229,0.899791878,1.53198203,0.963203588,0.284202674,1.151503765
"HRS,B7H3",0.661752466,0.016322487,0.921776191,0.271362941,0.643216654,0.184164133,0.527257137,0.537906669,0.712596574,0.756690372,0.585182213,0.201238095,0.509049427,1.053824889,0.338628199,0.749936554,NA,NA,NA,0.608725739,1.04E+00,0.870361358,1.06E+00,NA,NA,1.242175745,0.677540692,NA,0.907304036
